"measuredElementSuaFbs","timePointYears","geographicAreaM49","measuredItemFbsSua","Value","flagObservationStatus","flagMethod"
"5166","2014","426","S2557",0,"I","s"
"261","2014","426","S2557",1.48724884,"I","s"
"271","2014","426","S2557",0.059393379,"I","s"
"281","2014","426","S2557",0.129409964,"I","s"
"5910","2014","426","S2558",0.467,"I","s"
"5520","2014","426","S2558",0.023419,"I","s"
"5141","2014","426","S2558",1033.230581,"I","s"
"5610","2014","426","S2558",1033.721,"I","s"
"664","2014","426","S2558",6.38256922402365,"I","s"
"674","2014","426","S2558",0.359271668290115,"I","s"
"684","2014","426","S2558",0.493993821181137,"I","s"
"5166","2014","426","S2558",-0.000000000000227373675443232,"I","s"
"261","2014","426","S2558",4845.85389264,"I","s"
"271","2014","426","S2558",272.770721506,"I","s"
"281","2014","426","S2558",375.05615643,"I","s"
"5910","2014","426","S2559",0.58,"I","s"
"5141","2014","426","S2559",5.667,"I","s"
"5610","2014","426","S2559",6.247,"I","s"
"664","2014","426","S2559",0.0188842156826311,"I","s"
"674","2014","426","S2559",0.0012912922186147,"I","s"
"684","2014","426","S2559",0.00133607691983833,"I","s"
"5166","2014","426","S2559",0,"I","s"
"261","2014","426","S2559",14.33751,"I","s"
"271","2014","426","S2559",0.980391,"I","s"
"281","2014","426","S2559",1.014393,"I","s"
"5910","2014","426","S2560",0.047771,"I","s"
"5520","2014","426","S2560",0.461737,"I","s"
"5141","2014","426","S2560",7.022839,"I","s"
"5610","2014","426","S2560",7.532347,"I","s"
"664","2014","426","S2560",0.0476274981305627,"I","s"
"674","2014","426","S2560",0.000491617877757167,"I","s"
"684","2014","426","S2560",0.00463809973304817,"I","s"
"5166","2014","426","S2560",0,"I","s"
"261","2014","426","S2560",36.16034376,"I","s"
"271","2014","426","S2560",0.373252263,"I","s"
"281","2014","426","S2560",3.521395986,"I","s"
"5520","2014","426","S2561",0.065644,"I","s"
"5141","2014","426","S2561",0.304356,"I","s"
"5610","2014","426","S2561",0.37,"I","s"
"664","2014","426","S2561",0.00229700376953707,"I","s"
"674","2014","426","S2561",0.0000709545667029777,"I","s"
"684","2014","426","S2561",0.00019923400932983,"I","s"
"5166","2014","426","S2561",0,"I","s"
"261","2014","426","S2561",1.74395988,"I","s"
"271","2014","426","S2561",0.053871012,"I","s"
"281","2014","426","S2561",0.151264932,"I","s"
"5520","2014","426","S2562",0,"I","s"
"5141","2014","426","S2562",0,"I","s"
"5610","2014","426","S2562",0,"I","s"
"664","2014","426","S2562",0.00000557170574702161,"I","s"
"674","2014","426","S2562",0.0000000791312294810462,"I","s"
"684","2014","426","S2562",0.000000470451419106494,"I","s"
"5166","2014","426","S2562",0,"I","s"
"261","2014","426","S2562",0.00423022,"I","s"
"271","2014","426","S2562",0.000060079,"I","s"
"281","2014","426","S2562",0.000357182,"I","s"
"5141","2014","426","S2563",8.451,"I","s"
"5610","2014","426","S2563",15.532,"I","s"
"664","2014","426","S2563",0.0121327658944941,"I","s"
"674","2014","426","S2563",0.000122440756733427,"I","s"
"684","2014","426","S2563",0.00123553854521912,"I","s"
"5166","2014","426","S2563",7.081,"I","s"
"261","2014","426","S2563",9.21159,"I","s"
"271","2014","426","S2563",0.092961,"I","s"
"281","2014","426","S2563",0.938061,"I","s"
"5910","2014","426","S2570",22.06,"I","s"
"5520","2014","426","S2570",3169.421089,"I","s"
"5141","2014","426","S2570",0.748911,"I","s"
"5023","2014","426","S2570",1978,"I","s"
"5610","2014","426","S2570",5170.17,"I","s"
"5071","2014","426","S2570",0,"I","s"
"664","2014","426","S2570",0.00438641304975248,"I","s"
"674","2014","426","S2570",0.000178646175815304,"I","s"
"684","2014","426","S2570",0.000337823203125983,"I","s"
"5166","2014","426","S2570",0,"I","s"
"261","2014","426","S2570",3.33030728,"I","s"
"271","2014","426","S2570",0.13563398,"I","s"
"281","2014","426","S2570",0.25648635,"I","s"
"5141","2014","426","S2571",3262.672,"I","s"
"5610","2014","426","S2571",3262.672,"I","s"
"664","2014","426","S2571",37.9883909735501,"I","s"
"674","2014","426","S2571",0,"I","s"
"684","2014","426","S2571",4.29732929565046,"I","s"
"5166","2014","426","S2571",0,"I","s"
"261","2014","426","S2571",28842.02048,"I","s"
"271","2014","426","S2571",0,"I","s"
"281","2014","426","S2571",3262.672,"I","s"
"5141","2014","426","S2572",35.639,"I","s"
"5610","2014","426","S2572",35.639,"I","s"
"664","2014","426","S2572",0.414956902166798,"I","s"
