"geographicAreaM49","measuredItemFbsSua","measuredElementSuaFbs","timePointYears","Value","flagObservationStatus","flagMethod"
"426","21123","5910","2014",0.031,"I","s"
"426","21151","5910","2014",1.1,"I","s"
"426","21160.03","5910","2014",0.01,"I","s"
"426","21181","5910","2014",0.78,"I","s"
"426","21184.02","5910","2014",10,"I","s"
"426","21319.01","5910","2014",0.001,"I","s"
"426","21329","5910","2014",5.691,"I","s"
"426","21330.90","5910","2014",0.724,"I","s"
"426","21340","5910","2014",1.076,"I","s"
"426","21392","5910","2014",134,"I","s"
"426","21393.01","5910","2014",0.04,"I","s"
"426","21393.90","5910","2014",0.044442,"I","s"
"426","21411","5910","2014",0.715445,"I","s"
"426","21419.99","5910","2014",307.131,"I","s"
"426","21424","5910","2014",0.007,"I","s"
"426","21429.07","5910","2014",0.019,"I","s"
"426","21431.02","5910","2014",0.375,"I","s"
"426","21432.01","5910","2014",0.024,"I","s"
"426","21433.01","5910","2014",0.028,"I","s"
"426","21434","5910","2014",0.038,"I","s"
"426","21435.02","5910","2014",0.008,"I","s"
"426","21439.04","5910","2014",0.024,"I","s"
"426","21439.9","5910","2014",31.767,"I","s"
"426","21495.01","5910","2014",1.699,"I","s"
"426","21631.01","5910","2014",22.729,"I","s"
"426","2165","5910","2014",2.92,"I","s"
"426","2166","5910","2014",0.723,"I","s"
"426","2167","5910","2014",0.002,"I","s"
"426","21673","5910","2014",0.02,"I","s"
"426","2168","5910","2014",0.057,"I","s"
"426","21691.07","5910","2014",0.04,"I","s"
"426","21691.12","5910","2014",0.097,"I","s"
"426","21691.90","5910","2014",0.095,"I","s"
"426","21700.02","5910","2014",0.027,"I","s"
"426","22110.02","5910","2014",0,"I","s"
"426","22211","5910","2014",4.254,"I","s"
"426","22212","5910","2014",28.427,"I","s"
"426","22222.01","5910","2014",0.541,"I","s"
"426","22230.01","5910","2014",3.62406,"I","s"
"426","22230.02","5910","2014",7.524,"I","s"
"426","22241.01","5910","2014",0.162,"I","s"
"426","22241.02","5910","2014",0.002,"I","s"
"426","22251.01","5910","2014",0.53,"I","s"
"426","22251.04","5910","2014",0.04,"I","s"
"426","22260","5910","2014",0.093,"I","s"
"426","22270","5910","2014",0,"I","s"
"426","22290","5910","2014",0,"I","s"
"426","23120.90","5910","2014",16.029,"I","s"
"426","23140.03","5910","2014",18.447215,"I","s"
"426","23140.08","5910","2014",0.513428,"I","s"
"426","23161.02","5910","2014",46.467,"I","s"
"426","23161.03","5910","2014",0.34,"I","s"
"426","23170.02","5910","2014",0.012865,"I","s"
"426","23180","5910","2014",0,"I","s"
"426","23210.04","5910","2014",1.413077,"I","s"
"426","23210.06","5910","2014",0.12,"I","s"
"426","23220.01","5910","2014",0.005341,"I","s"
"426","23220.03","5910","2014",0.036,"I","s"
"426","23220.05","5910","2014",0.002,"I","s"
"426","23311","5910","2014",68.743,"I","s"
"426","23319.04","5910","2014",26,"I","s"
"426","23490.01","5910","2014",0.008,"I","s"
"426","2351f","5910","2014",15.74,"I","s"
"426","23520","5910","2014",0.01,"I","s"
"426","23670.01","5910","2014",2.936,"I","s"
"426","23670.02","5910","2014",0.113,"I","s"
"426","23710","5910","2014",2.701,"I","s"
"426","23911","5910","2014",0.7795,"I","s"
"426","23912.01","5910","2014",0.40082,"I","s"
"426","23912.02","5910","2014",1.726558,"I","s"
"426","23914","5910","2014",0.001,"I","s"
"426","23991.01","5910","2014",0.003,"I","s"
"426","23991.03","5910","2014",0.868,"I","s"
"426","23995.01","5910","2014",1.784,"I","s"
"426","23995.03","5910","2014",0.467,"I","s"
"426","23999.02","5910","2014",0,"I","s"
"426","24110","5910","2014",3,"I","s"
"426","2413","5910","2014",0.033,"I","s"
"426","24212.02","5910","2014",3.586,"I","s"
"426","24230.03","5910","2014",0.175,"I","s"
"426","24310.01","5910","2014",69,"I","s"
"426","24320","5910","2014",109.139,"I","s"
"426","24490","5910","2014",21.556,"I","s"
"426","25020.01","5910","2014",2.99,"I","s"
"426","25020.02","5910","2014",0.75,"I","s"
"426","25090","5910","2014",8.781,"I","s"
"426","26130","5910","2014",4518.874,"I","s"
"426","26150.01","5910","2014",20.698,"I","s"
"426","26150.02","5910","2014",35.112,"I","s"
"426","34120","5910","2014",8.4,"I","s"
"426","35410.90","5910","2014",31.431,"I","s"
"426","39120.13","5910","2014",0,"I","s"
"426","39150.01","5910","2014",0.015122,"I","s"
"426","39170.01","5910","2014",142.114,"I","s"
"426","F0020","5910","2014",28.868,"I","s"
"426","F0473","5910","2014",0.001,"I","s"
"426","F0475","5910","2014",0.115,"I","s"
"426","F0623","5910","2014",31.502,"I","s"
"426","F0665","5910","2014",0.727986595744681,"I","s"
"426","F0769","5910","2014",0,"I","s"
"426","F0875","5910","2014",1.129,"I","s"
"426","F0994","5910","2014",0.18,"I","s"
"426","F1042","5910","2014",0.237,"I","s"
"426","F1172","5910","2014",0.04,"I","s"
"426","F1232","5910","2014",464.726412,"I","s"
"426","F1243","5910","2014",0.075,"I","s"
"426","F1275","5910","2014",0.2,"I","s"
"426","F1294","5910","2014",0.048,"I","s"
"426","0111","5910","2015",30532.9264730392,"I","s"
"426","0112","5910","2015",4604.06974441961,"I","s"
"426","0113","5910","2015",0.2,"I","s"
"426","0114","5910","2015",0.972823529411765,"I","s"
"426","0115","5910","2015",0.382,"I","s"
"426","0116","5910","2015",11.2,"I","s"
"426","0117","5910","2015",0.053405065815716,"I","s"
"426","01241.90","5910","2015",2.936,"I","s"
"426","01242","5910","2015",0.175,"I","s"
"426","01243","5910","2015",0.305,"I","s"
"426","01254","5910","2015",1.25,"I","s"
"426","01290.90","5910","2015",12.04325,"I","s"
"426","01312","5910","2015",13.39744,"I","s"
"426","01313","5910","2015",2.28556,"I","s"
"426","01314","5910","2015",5.1308,"I","s"
"426","01323","5910","2015",6.7,"I","s"
"426","01324","5910","2015",0.17,"I","s"
"426","01330","5910","2015",3.77906976744186,"I","s"
"426","01341","5910","2015",0.56,"I","s"
"426","01355.90","5910","2015",59,"I","s"
"426","01359.90","5910","2015",11.144,"I","s"
"426","01449.90","5910","2015",98,"I","s"
"426","01460","5910","2015",0.1722,"I","s"
"426","01610","5910","2015",15.02474,"I","s"
"426","01620","5910","2015",0.2586,"I","s"
"426","01651","5910","2015",0.1,"I","s"
"426","01658","5910","2015",0.2007,"I","s"
"426","01699","5910","2015",24.74918,"I","s"
"426","01701","5910","2015",1.034,"I","s"
"426","01704","5910","2015",0.378,"I","s"
"426","01705","5910","2015",0.304,"I","s"
"426","01709.90","5910","2015",0.074,"I","s"
"426","01919.96","5910","2015",0.09,"I","s"
"426","01921.02","5910","2015",0,"I","s"
"426","01930.02","5910","2015",4,"I","s"
"426","01950.02","5910","2015",0.0012,"I","s"
"426","01970","5910","2015",0.092,"I","s"
"426","02211","5910","2015",800.002,"I","s"
"426","0231","5910","2015",14.4,"I","s"
"426","0232","5910","2015",0.4,"I","s"
"426","02910","5910","2015",0.1,"I","s"
"426","02941","5910","2015",1189.696,"I","s"
"426","02942.90","5910","2015",28.090801,"I","s"
"426","02943.02","5910","2015",79.162,"I","s"
"426","02951.04","5910","2015",17.8,"I","s"
"426","02953.04","5910","2015",6.6,"I","s"
"426","17400","5910","2015",16.56009,"I","s"
"426","21111.01","5910","2015",0.02,"I","s"
"426","21115","5910","2015",0.004,"I","s"
"426","21121","5910","2015",0.28,"I","s"
"426","21122","5910","2015",1.5,"I","s"
"426","21189.01","5910","2015",0.048,"I","s"
"426","21330.90","5910","2015",17.676,"I","s"
"426","21340","5910","2015",0.08,"I","s"
"426","21392","5910","2015",19,"I","s"
"426","21393.90","5910","2015",0.024,"I","s"
